City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
278,Saldanha,ZA,2022-04-02 22:09:13,-33.0117,17.9442,62.33,75,0,14.18
279,Ghanzi,BW,2022-04-02 22:09:13,-21.5667,21.7833,73.36,58,81,4.07
280,Batemans Bay,AU,2022-04-02 22:09:13,-35.7167,150.1833,63.1,88,84,8.86
281,Basco,PH,2022-04-02 22:09:14,20.4487,121.9702,74.53,79,100,34.09
282,Kyshtovka,RU,2022-04-02 22:09:15,56.555,76.6271,28.69,97,100,8.66
283,Bereda,ES,2022-04-02 22:09:15,43.2686,-7.5406,31.14,93,5,3.58
284,Bowen,AU,2022-04-02 22:09:16,-20.0167,148.2333,81.5,67,99,9.73
285,Richards Bay,ZA,2022-04-02 22:09:16,-28.783,32.0377,71.83,95,92,3.69
286,Umm Kaddadah,SD,2022-04-02 22:09:17,13.6017,26.6876,80.17,14,18,11.41
287,San Luis,AR,2022-04-02 22:04:24,-33.295,-66.3356,66.25,36,0,13.6
288,Tralee,IE,2022-04-02 22:09:17,52.2704,-9.7026,38.86,86,14,5.48
289,Hasaki,JP,2022-04-02 22:09:18,35.7333,140.8333,46.29,61,100,11.12
290,Sanchez,DO,2022-04-02 22:09:18,19.2281,-69.6137,82.18,74,20,11.5
